弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
888888,0分48秒,2023--04--11 23:14:22,普通弹幕,25,9365c815
888888,0分33秒,2023--04--11 23:06:39,普通弹幕,25,b2406ad
8888,0分25秒,2023--04--11 23:06:30,普通弹幕,25,b2406ad
888888,0分44秒,2023--04--11 22:45:57,普通弹幕,25,734716b6
8,0分33秒,2023--04--11 22:42:05,普通弹幕,25,c68325ae
最多的就是黄油黄油黄油,1分28秒,2023--04--11 22:36:40,普通弹幕,25,d3e8a858
可是这样的蛋挞皮才好吃啊！,2分13秒,2023--04--11 22:26:31,顶部弹幕,25,edde78a3
888888,0分34秒,2023--04--11 22:23:11,普通弹幕,25,f7af6d1c
888888,0分53秒,2023--04--11 22:22:25,普通弹幕,25,ee38b160
高血压、糖尿病、心脏病来袭,5分23秒,2023--04--11 22:17:30,普通弹幕,25,f8fa8611
太厚了？,2分14秒,2023--04--11 22:04:28,普通弹幕,25,def1f1d3
8,0分25秒,2023--04--11 22:03:03,普通弹幕,25,60bf9925
88,0分19秒,2023--04--11 21:49:09,普通弹幕,25,294d5670
8,0分19秒,2023--04--11 21:43:43,普通弹幕,25,b5186927
88888888,0分43秒,2023--04--11 21:42:31,普通弹幕,25,c4ce17bd
+200卡,5分27秒,2023--04--11 21:37:43,普通弹幕,25,ec5ed86a
8,0分29秒,2023--04--11 21:35:37,普通弹幕,25,353d2eff
我疯啦,0分16秒,2023--04--11 21:20:31,普通弹幕,25,d09aa34d
8,0分50秒,2023--04--11 21:16:46,普通弹幕,25,eb7c5767
竟然熟了,0分23秒,2023--04--11 21:12:40,普通弹幕,25,d09f5e9e
888888,0分53秒,2023--04--11 21:12:10,普通弹幕,25,d36289ed
888888,0分40秒,2023--04--11 21:03:48,普通弹幕,25,7248885c
88888888,0分31秒,2023--04--11 21:03:38,普通弹幕,25,7248885c
888888,0分23秒,2023--04--11 21:00:27,普通弹幕,25,c669320b
辛吉德是吧,5分3秒,2023--04--11 20:59:56,普通弹幕,25,a2d2b7a4
888888,1分0秒,2023--04--11 20:59:23,普通弹幕,25,39d35ac4
唉！,0分17秒,2023--04--11 20:55:55,普通弹幕,25,b7b81401
88888,0分22秒,2023--04--11 20:49:13,普通弹幕,25,bca9d85
我叠过,1分35秒,2023--04--11 20:38:37,普通弹幕,25,ffe027df
888888,0分21秒,2023--04--11 20:33:51,普通弹幕,25,5f257144
叠了八年,1分38秒,2023--04--11 20:24:15,普通弹幕,25,d0dbba79
8,0分29秒,2023--04--11 20:14:18,普通弹幕,25,6ba3fa4e
那个啥，绵羊这是美食区科学家吗，这么严谨？？？（厉害厉害,4分14秒,2023--04--11 20:12:17,普通弹幕,25,2e864b95
888888,0分17秒,2023--04--11 20:07:15,普通弹幕,25,15b81db6
哇哦～,0分14秒,2023--04--11 20:05:27,普通弹幕,25,926332b0
炼金术士:6,5分3秒,2023--04--11 20:04:12,普通弹幕,25,13aa94a4
我宣布，xxxxl流心蛋挞正式诞生!,2分42秒,2023--04--11 20:01:38,普通弹幕,25,13aa94a4
888888,0分36秒,2023--04--11 19:59:42,普通弹幕,25,514944c1
8888888,0分27秒,2023--04--11 19:58:34,普通弹幕,25,faa08ca4
中巴,0分19秒,2023--04--11 19:57:53,普通弹幕,25,8d65db8e
1000万了姨姨,0分15秒,2023--04--11 19:55:10,普通弹幕,25,49d3cbd3
不出意外的话肯定是要出意外的,1分46秒,2023--04--11 19:53:38,普通弹幕,25,beded449
嗯~,2分49秒,2023--04--11 19:51:47,普通弹幕,25,ccb74d6b
8888888,0分30秒,2023--04--11 19:48:02,普通弹幕,25,dacbb358
8888,0分20秒,2023--04--11 19:47:53,普通弹幕,25,dacbb358
第一口没有咬到馅,5分29秒,2023--04--11 19:43:56,顶部弹幕,25,97ec3b8f
上颚开始疼了,5分23秒,2023--04--11 19:43:39,顶部弹幕,25,97ec3b8f
明朝没酒喝凉水,5分36秒,2023--04--11 19:42:17,顶部弹幕,25,9817be4c
888888,0分43秒,2023--04--11 19:41:12,普通弹幕,25,459c27e2
吃了这么多天，该腻了吧,4分43秒,2023--04--11 19:38:32,普通弹幕,25,3e687c60
8,0分17秒,2023--04--11 19:37:56,普通弹幕,25,bc960154
