弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
籽岷的MC单人极限生存,1分10秒,2021--02--13 01:57:46,顶部弹幕,25,56ddc1eb
牛奶，咖喱，胡桃，豌豆，梨，西瓜，咸蛋,0分25秒,2020--10--02 14:06:57,普通弹幕,25,bf2c2239
秦王扫六合,0分51秒,2020--08--22 12:42:34,顶部弹幕,25,61e31379
真  “镇  站  之  宝”,0分5秒,2020--07--29 21:39:54,普通弹幕,25,537ad515
龙卷风摧毁停车场,0分54秒,2020--09--29 22:06:33,普通弹幕,25,f6ae8db6
仙  人  指  路,0分38秒,2020--09--26 23:29:29,顶部弹幕,25,e994d10a
秦王扫六合，虎视何雄哉,1分3秒,2020--10--01 06:51:32,顶部弹幕,25,feaeff6b
您的iPhone 已解锁,1分8秒,2020--10--10 22:32:10,顶部弹幕,25,a7180c4b
恐龙妈妈提笔忘字,0分14秒,2020--10--04 00:37:38,顶部弹幕,25,c5a74b69
哦 上帝 看这朦胧的美感,0分16秒,2020--09--30 21:18:13,普通弹幕,25,42beb5ab
牛奶 咖喱 土豆 豌豆 梨 西瓜 咸蛋,0分26秒,2020--10--01 11:25:42,顶部弹幕,25,98ecfdca
试管振荡,1分20秒,2020--09--29 12:46:22,顶部弹幕,25,1a1d4dc5
牛奶，咖喱，土豆，豌豆，梨，西瓜，咸蛋,0分26秒,2020--08--26 05:34:32,顶部弹幕,25,212a3e88
籽 岷 挖 矿,1分20秒,2020--04--11 15:19:33,普通弹幕,25,807cead7
众                       神                       归                         位,0分12秒,2019--12--07 14:45:52,顶部弹幕,25,445f8586
借问酒家何处有 ，牧童倒拔垂杨柳,0分34秒,2021--02--05 21:50:05,普通弹幕,25,13fb0821
本场MVP黄磊老师,1分8秒,2020--10--10 21:48:32,普通弹幕,25,832cc310
秦王扫六合,0分51秒,2020--12--05 09:33:52,顶部弹幕,25,4775e259
真·互动视频【跟着做】,0分1秒,2019--10--02 22:14:49,普通弹幕,25,4db6b0c
老妇撩发少年狂,1分0秒,2020--10--14 11:15:47,顶部弹幕,25,6cdb23b0
牛奶  咖喱  土豆  豌豆  梨   西瓜   咸蛋,0分29秒,2020--12--06 14:23:44,顶部弹幕,25,27559f04
牛奶，咖喱，土豆，豌豆，梨，西瓜，咸蛋,0分26秒,2020--11--22 19:30:20,顶部弹幕,25,ec85ea8
请 选 择 你 的 英 雄,0分4秒,2020--08--07 12:18:51,顶部弹幕,25,8e39ec9c
黄磊居然打赤膊,0分3秒,2020--04--30 22:21:57,普通弹幕,25,504d851c
请 选 择 你 的 英 雄,0分0秒,2020--11--12 14:42:55,顶部弹幕,25,9b9d95bb
6666,0分0秒,2021--08--03 12:08:33,普通弹幕,25,8c3f8cee
震荡试管,1分20秒,2020--10--01 11:35:30,顶部弹幕,25,b72bf744
究         级          生            物,0分5秒,2019--06--24 22:08:06,顶部弹幕,25,33e84c09
     一     睹     芳     容     ,1分1秒,2020--10--02 02:20:32,顶部弹幕,25,9e37886a
这简直就是镇站之宝啊！！！！！,0分0秒,2020--07--31 14:08:34,普通弹幕,25,9546e052
空气:我当时害怕极了,0分23秒,2020--03--19 18:12:43,普通弹幕,25,a8a49ec1
人                  脸                 识                        别,1分7秒,2019--09--29 08:36:40,顶部弹幕,25,ceaf51a1
众                  神               归                  位,0分7秒,2019--09--21 17:51:49,顶部弹幕,25,f49afc01
领                    衔                    主                    演,0分11秒,2019--06--26 19:23:34,顶部弹幕,25,83a6f65e
战术踉跄,0分58秒,2020--10--21 19:53:31,顶部弹幕,25,91605e52
狒狒挠头,0分41秒,2020--10--15 13:29:12,顶部弹幕,25,e3f72061
籽岷挖矿,1分21秒,2020--10--04 21:01:29,顶部弹幕,25,2a78b117
震荡试管的哈哈哈哈哈哈,1分22秒,2019--10--29 21:23:09,顶部弹幕,25,2a238cf0
您的iPhone以解锁,1分8秒,2020--09--14 10:05:55,普通弹幕,25,1439d3e8
天   人   之   姿,0分6秒,2020--10--13 22:06:08,顶部弹幕,25,fba7f44
一 睹 芳 容,1分8秒,2020--10--01 13:58:37,顶部弹幕,25,80d84228
仙     人     指     路     仙     人     指     路     仙     人     指     路     仙     人     指     路  ,0分38秒,2020--06--12 00:17:11,顶部弹幕,25,14b75e55
牛腩咖喱土豆豌豆梨西瓜咸蛋,0分26秒,2020--03--06 00:49:48,顶部弹幕,25,86c20b1
秦     王     扫     六     合,0分53秒,2020--08--08 13:54:58,顶部弹幕,25,b2c37340
