弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
翻译：你在想屁吃,0分30秒,2023--02--27 19:52:16,顶部弹幕,25,7390dec
和哈哈哈哈哈哈哈哈哈哈,6分6秒,2023--02--26 17:52:10,普通弹幕,25,2ff8fb
你再骂,5分36秒,2023--02--25 14:28:42,普通弹幕,25,786a473e
我TM裂开了,3分2秒,2023--02--24 17:01:43,普通弹幕,25,a263b5e5
麻球一样,2分49秒,2023--02--24 17:01:24,普通弹幕,25,a263b5e5
估计要翻车,2分40秒,2023--02--24 17:01:08,普通弹幕,25,a263b5e5
我饿了,5分10秒,2023--02--23 12:52:05,普通弹幕,25,58d5a8bf
好想吃,5分1秒,2023--02--21 21:06:07,普通弹幕,25,47b4b549
竟然只有四个人投票，加上我,1分34秒,2023--02--20 21:40:12,普通弹幕,25,b28fd542
这个投票率你是认真的吗？,1分35秒,2023--02--20 21:39:55,普通弹幕,25,b28fd542
麻烦,3分8秒,2023--02--20 10:14:08,底部弹幕,25,693070d2
[ohhh],3分57秒,2023--02--19 21:16:50,普通弹幕,25,a97182f0
《100％》,1分41秒,2023--02--19 04:02:51,普通弹幕,25,4bae8c08
小刺郎勿路,0分27秒,2023--02--18 21:09:56,普通弹幕,25,ec29a7a4
[OHH],4分46秒,2023--02--18 16:42:44,普通弹幕,25,d1d16f40
完美啊你的名字是查理（未婚妻的警觉）,2分19秒,2023--02--16 14:59:59,顶部弹幕,25,7aebd52f
下次也不一定,2分35秒,2023--02--13 15:49:53,普通弹幕,25,f3a0d40a
啊啊啊啊，救命你是不是没有开图层！？,6分23秒,2023--02--12 22:48:42,普通弹幕,25,fec04142
小知识：桃：peach,0分28秒,2023--02--12 20:58:09,普通弹幕,25,8865e870
6666,0分2秒,2023--02--12 18:35:31,普通弹幕,25,cb712d4
拒绝选择！！！,1分35秒,2023--02--12 17:31:49,普通弹幕,25,427b34e2
从二仙桥排到了五一广场（bushi,0分30秒,2023--02--12 13:55:31,顶部弹幕,25,7c36cee3
我说一个数38！,5分7秒,2023--02--12 10:42:16,普通弹幕,25,d12cea3f
前面的入站考试怎么过的？Bili bili都不是UP主吗？,2分21秒,2023--02--12 10:35:23,顶部弹幕,25,ddfcd8dd
11111,2分36秒,2023--02--12 10:21:49,普通弹幕,25,ecd004ba
羊村前来考古,5分6秒,2023--02--12 10:11:21,普通弹幕,25,8e16d2bf
《下辈子丕定》,2分37秒,2023--02--12 09:57:59,普通弹幕,25,9d4c7965
这是我梦开始的地方。,0分4秒,2023--02--11 19:39:41,普通弹幕,25,42c9db96
梦回羊村,4分56秒,2023--02--11 17:43:50,普通弹幕,25,a89ca924
请问后面有几个锅？,4分55秒,2023--02--11 17:43:39,普通弹幕,25,a89ca924
辛  疾  飞,2分50秒,2023--02--11 15:41:23,普通弹幕,25,53a3009b
这何尝不是一种NTR,1分1秒,2023--02--11 11:45:40,顶部弹幕,25,7cede6b1
湖南人？,0分38秒,2023--02--11 05:07:49,普通弹幕,25,268aa0aa
基*,3分22秒,2023--02--10 23:47:56,普通弹幕,25,29764346
坤腿大包（bushi）,0分18秒,2023--02--10 23:19:39,普通弹幕,25,c56570bb
问：墙角的花是什么颜色,4分58秒,2023--02--10 19:05:44,普通弹幕,18,a0eab539
666,5分0秒,2023--02--10 14:32:40,普通弹幕,25,1eef664
成都人觉得格外熟悉,0分26秒,2023--02--09 21:03:34,普通弹幕,25,2a3c5b7c
3（不加香菜）,1分43秒,2023--02--08 22:07:40,普通弹幕,25,c8ff07af
问绵羊墙角里的话是什么颜色（小潮院长羊村考古）,5分1秒,2023--02--08 13:11:47,普通弹幕,25,aabc6933
、,2分10秒,2023--02--06 01:19:59,普通弹幕,25,72e82d03
hhhhh,3分2秒,2023--02--06 00:21:23,普通弹幕,25,1f88f1db
没有小型的可以用混凝土振捣棒代替,2分16秒,2023--02--05 21:28:45,顶部弹幕,25,8e986d3
下次丕定,2分37秒,2023--02--05 17:58:10,普通弹幕,25,8d9913c3
油炸鸭头,3分22秒,2023--02--05 14:16:41,顶部弹幕,25,491ad441
进度条告诉我，没那么简单,4分4秒,2023--02--04 11:39:40,普通弹幕,25,b2186c58
墙上的花是什么颜色？,4分59秒,2023--02--03 23:07:28,普通弹幕,25,f23f0eb1
左手有几根手指在鸡腿上,5分22秒,2023--02--03 21:17:22,普通弹幕,25,7babb6f1
《背后的花是什么颜色？》,4分55秒,2023--02--03 13:12:29,普通弹幕,25,72e92174
[ohhh],4分22秒,2023--02--03 11:44:54,普通弹幕,25,40e4e20d
《墙上有几个锅》（doge）,4分56秒,2023--02--03 00:54:59,顶部弹幕,25,789a76db
额。。。。,3分3秒,2023--02--02 18:33:02,普通弹幕,25,8b169a6d
不是韭菜我不吃,1分47秒,2023--02--02 17:15:35,顶部弹幕,25,43bc15bf
[ohhhhhhhhhhhhhhhhhhhhhhhhhh],3分57秒,2023--02--02 17:04:02,普通弹幕,25,799212bf
你的鸡腿露馅儿了。别藏了我看见了,3分0秒,2023--02--02 12:50:08,普通弹幕,25,3bfe4b3b
这声音,4分40秒,2023--02--01 18:11:37,普通弹幕,25,1ac0eaea
《315贵客》,6分7秒,2023--02--01 16:50:50,普通弹幕,25,b001c906
人话:好吃,5分23秒,2023--02--01 16:47:55,普通弹幕,25,9db30108
以上废话,4分46秒,2023--02--01 16:47:17,普通弹幕,25,9db30108
入口即化,5分14秒,2023--02--01 13:38:50,普通弹幕,25,d106c478
太能拉了,2分8秒,2023--01--31 20:27:04,普通弹幕,25,7839be41
下次丕定,2分34秒,2023--01--31 18:14:12,普通弹幕,25,3376bb42
像啊好像啊,2分2秒,2023--01--31 14:53:03,普通弹幕,25,871a3b8
像啊 好像啊,1分10秒,2023--01--31 14:52:11,普通弹幕,25,871a3b8
