弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
羊村5，谁懂？,4分55秒,2022--12--28 08:45:31,顶部弹幕,25,c83021ac
白皙的小芒果,2分49秒,2022--12--27 21:24:08,普通弹幕,25,29cfb591
嘿嘿,3分25秒,2022--12--27 20:59:36,普通弹幕,25,c48ed59c
多加香菜,1分36秒,2022--12--27 20:57:35,普通弹幕,25,c48ed59c
请问：绵羊姐姐右侧有几口锅？,4分55秒,2022--12--27 20:12:43,顶部弹幕,25,ce880053
请问：绵羊姐姐右侧的花是什么颜色的,4分55秒,2022--12--27 20:12:24,顶部弹幕,25,ce880053
请问：绵羊姐姐左手几根手指碰到了鸡腿？,4分55秒,2022--12--27 20:12:04,顶部弹幕,25,ce880053
《拉》,2分9秒,2022--12--27 19:41:54,顶部弹幕,25,9ef19983
是不是打印机广告,5分57秒,2022--12--27 17:37:50,普通弹幕,25,b55d3d06
30一根,5分40秒,2022--12--27 17:35:34,普通弹幕,25,556ac9c2
欧典欧的那个 过分了啊,0分58秒,2022--12--27 15:20:19,顶部弹幕,25,5c31768c
《羊村5名场面》,4分55秒,2022--12--27 13:59:40,普通弹幕,25,77b98966
[ohhhhhh],4分16秒,2022--12--27 10:24:39,普通弹幕,25,77f9f216
hhhhhhhho,4分1秒,2022--12--27 10:24:24,普通弹幕,25,77f9f216
《墙角的花是什么颜色》《墙上挂着几个锅》《左手几个手指放在鸡腿上〉,4分56秒,2022--12--26 23:39:24,普通弹幕,25,eb706275
记住这个画面，羊村要考,0分0秒,2022--12--26 22:08:16,普通弹幕,25,d905d67a
zha理苏～（串线）,2分22秒,2022--12--26 21:42:29,普通弹幕,25,a9479117
每日一押韵（1／1）,4分45秒,2022--12--26 21:14:20,顶部弹幕,25,71bb1435
《麦克风》,3分25秒,2022--12--26 19:34:06,普通弹幕,25,d5463b89
 大面包(确信),3分0秒,2022--12--26 19:33:19,普通弹幕,25,d5463b89
绵羊有几根手指放在鸡腿上（）,4分58秒,2022--12--26 17:37:54,顶部弹幕,25,c1d74a62
《绵羊料理姐姐有几根手指放在鸡腿上》（羊村后遗症doge,4分55秒,2022--12--26 17:22:53,顶部弹幕,25,5ea66571
《墙角里的花是什么颜色的》【小潮来的】,0分0秒,2022--12--26 17:12:05,普通弹幕,25,a221d710
羊村逝题取自本视频,0分4秒,2022--12--26 16:10:36,普通弹幕,25,ddcee90f
魔    芋,3分27秒,2022--12--26 14:38:47,顶部弹幕,25,3760dfd
真的有三根手指（,4分54秒,2022--12--26 01:31:39,顶部弹幕,25,c4751284
角落里的花是什么颜色的,4分56秒,2022--12--26 00:53:22,普通弹幕,25,424d04c1
《绵羊料理多少根手指头放在鸡腿上》,4分55秒,2022--12--25 22:54:52,顶部弹幕,25,6f454977
进度条告诉我不简单,2分42秒,2022--12--25 21:25:43,底部弹幕,25,cd306e6a
绵羊料理姐姐左手有几根手指放在鸡腿上？（羊村后遗症）,4分55秒,2022--12--25 20:51:44,普通弹幕,25,cce2071c
土申，即答,3分23秒,2022--12--25 20:31:16,底部弹幕,25,d10cccf3
10块！我要了！不能再多了！,5分36秒,2022--12--25 20:19:31,普通弹幕,25,5fbccfb4
我爱吃香菜。,1分44秒,2022--12--25 19:45:02,普通弹幕,25,aba2d9fe
进度条告诉我不简单,3分56秒,2022--12--25 19:40:37,普通弹幕,25,bb99f546
绵羊姐姐左手有几只手指在鸡腿上,4分55秒,2022--12--25 19:00:27,顶部弹幕,25,fe51c7a8
110万个点赞牛逼,0分12秒,2022--12--25 18:20:13,普通弹幕,25,643a47d5
请问绵羊料理姐姐墙角的花是什么颜色(串台),4分55秒,2022--12--25 17:22:00,普通弹幕,25,b1b4443d
问：绵羊料理姐姐左手几根手指在鸡腿大包上,4分55秒,2022--12--25 16:03:38,顶部弹幕,25,10665fbb
红花三个手指三口锅请记牢,4分55秒,2022--12--25 15:59:41,顶部弹幕,25,998e8e76
有没有从羊村5回来的小伙伴,4分55秒,2022--12--25 15:26:35,普通弹幕,25,699ce2e4
进度条 危,3分48秒,2022--12--25 15:18:45,普通弹幕,25,1e3da76a
请问!绵羊料理姐姐左手有几根手指放在鸡腿上!,4分55秒,2022--12--25 13:47:42,普通弹幕,25,1ddbe458
美食博主家真的什么都有呢~,2分17秒,2022--12--25 13:34:10,普通弹幕,25,e6ffa1f0
都是羊村来的吧（站点）,4分55秒,2022--12--25 00:10:55,顶部弹幕,25,8bfbb2cb
咻咻咻～世界名曲集合,1分1秒,2022--12--25 00:10:45,普通弹幕,25,faa36fa
终于知道了自己不爱吃哪种蔬菜哈哈哈,1分52秒,2022--12--24 21:56:44,普通弹幕,25,7c0cae41
羊村5经典场景,4分55秒,2022--12--24 21:22:20,普通弹幕,25,57ba56aa
问：此时左手有几根手指在鸡腿上？（小潮来的,4分55秒,2022--12--24 19:27:00,顶部弹幕,25,e58db5ba
羊村考试开始,4分56秒,2022--12--24 18:27:57,普通弹幕,25,411be268
问：绵阳料理身后有几个锅？（潮）,4分55秒,2022--12--24 17:02:43,普通弹幕,25,80f1f2ed
羊村原图,4分55秒,2022--12--24 16:40:02,普通弹幕,25,ae1c1d76
羊式构型（不是,0分51秒,2022--12--24 14:38:50,顶部弹幕,25,56bc4cc6
我绿色的都不咋吃,1分53秒,2022--12--24 12:26:12,普通弹幕,25,d22394e4
三根手指！！！,4分54秒,2022--12--24 12:13:52,顶部弹幕,25,a151a6b
看成浓氨水,1分20秒,2022--12--24 08:02:57,普通弹幕,25,de889469
下次浓盐水换成浓盐酸吧！,5分29秒,2022--12--23 21:03:57,普通弹幕,25,38a4bce2
外焦里嫩,4分5秒,2022--12--23 21:02:25,普通弹幕,25,38a4bce2
油炸芒果,2分49秒,2022--12--23 21:00:46,顶部弹幕,25,38a4bce2
《拿首好戏》,2分28秒,2022--12--23 21:00:16,顶部弹幕,25,38a4bce2
这是，核弹？,2分2秒,2022--12--23 20:59:15,底部弹幕,25,38a4bce2
111,1分38秒,2022--12--23 20:58:07,普通弹幕,25,38a4bce2
juice它  幻听,4分19秒,2022--12--23 19:06:44,普通弹幕,25,3a0fce9
但是蓝色看起来真的很不下饭。,6分27秒,2022--12--23 17:35:21,顶部弹幕,25,237c6a5d
？我什么时候关注的？,0分43秒,2022--12--23 15:13:33,普通弹幕,25,f612e40
[ohhhhhhh],4分53秒,2022--12--23 12:44:15,普通弹幕,25,d35dbe20
链接在哪,4分55秒,2022--12--23 12:36:03,普通弹幕,25,829bba85
你是安迷修吗,4分34秒,2022--12--23 10:00:28,普通弹幕,25,bae1f91
好饿,5分42秒,2022--12--23 00:32:22,普通弹幕,25,cd044da2
啊， 你再押？！,4分41秒,2022--12--22 23:42:45,普通弹幕,25,71205d9b
下次一定,5分5秒,2022--12--22 19:18:37,普通弹幕,18,cdd125c2
二币,2分35秒,2022--12--22 19:18:09,普通弹幕,25,1c979990
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,4分8秒,2022--12--22 17:53:19,普通弹幕,25,37781b10
[ohh],4分47秒,2022--12--22 13:26:53,普通弹幕,25,2de63a3a
[ohh],4分46秒,2022--12--22 13:26:42,普通弹幕,25,2de63a3a
同款面包机,2分27秒,2022--12--22 13:23:43,普通弹幕,25,2de63a3a
第二层是香辣的原子弹,0分51秒,2022--12--22 11:15:00,普通弹幕,25,37781b10
你不是翻车了么,0分29秒,2022--12--22 11:12:56,普通弹幕,25,37781b10
('?xT,2分0秒,2022--12--21 14:17:38,普通弹幕,25,bff141be
下次一定,2分40秒,2022--12--20 10:18:29,普通弹幕,25,49aa369
不要香菜！,1分38秒,2022--12--19 21:56:11,普通弹幕,25,47da5a6
不要香菜！,1分38秒,2022--12--19 21:55:58,普通弹幕,25,47da5a6
双汇王中王，真的猝不及防,6分0秒,2022--12--19 20:47:02,普通弹幕,25,85f724ce
押韵女王,2分42秒,2022--12--19 13:39:58,普通弹幕,25,a45fd87
双汇啊，不爱国不买,6分5秒,2022--12--18 21:48:43,普通弹幕,25,a3bf321c
进度条不太简单,2分50秒,2022--12--18 17:00:56,普通弹幕,25,4f670f0c
你不给我吃，我才不点赞呢（doge）,4分55秒,2022--12--18 16:35:02,普通弹幕,25,c3a5f0df
[ohho],4分57秒,2022--12--18 12:11:40,普通弹幕,25,7e5bd1d2
哎呀呀，要翻车了！,1分57秒,2022--12--17 18:02:56,普通弹幕,25,a7888221
看起来好好吃,6分2秒,2022--12--17 17:33:22,普通弹幕,25,5d7cd40
炫我嘴里啊啊啊啊,5分35秒,2022--12--17 14:31:46,普通弹幕,25,bc853c2a
多重的快乐多重的享受,5分31秒,2022--12--16 21:50:44,普通弹幕,25,561349
20元一个,4分57秒,2022--12--16 21:05:06,普通弹幕,25,cd6f9a69
炸一只鸡腿，只需要一个星期,0分2秒,2022--12--16 20:59:49,普通弹幕,25,54d6ea2d
ohohohoh,5分3秒,2022--12--16 14:45:58,普通弹幕,25,60361c5
bzbzbzbzbzbzbzbzbzbzbzbzbzbzbzbzbzbzbzbbzbzbzbzbbzbzbzbzbzbz,4分51秒,2022--12--16 12:30:39,普通弹幕,25,22825355
2022年回来考古,0分20秒,2022--12--16 10:11:20,普通弹幕,25,50fe278e
马冬梅,5分29秒,2022--12--16 05:23:03,普通弹幕,25,9297f90f
这里面什么时候有东西啊,1分7秒,2022--12--15 16:48:10,普通弹幕,25,f6edff63
生菜,1分48秒,2022--12--15 10:04:45,普通弹幕,25,550abdf
[Ohhhh],3分55秒,2022--12--14 18:39:08,普通弹幕,25,ddc69fbe
[caffff]呀呼,1分49秒,2022--12--14 18:36:50,普通弹幕,25,ddc69fbe
[每周必看],1分41秒,2022--12--14 18:36:24,普通弹幕,25,ddc69fbe
2022了,0分22秒,2022--12--14 12:01:12,普通弹幕,25,402b3a3a
？,2分15秒,2022--12--14 09:42:32,普通弹幕,25,a7ec79a2
浓氨水（雾,1分14秒,2022--12--13 23:47:40,顶部弹幕,25,720c9a8b
太色青了,1分5秒,2022--12--13 18:50:32,普通弹幕,25,6ddc3800
菠芝,4分47秒,2022--12--13 18:21:14,普通弹幕,25,aa0f5fbe
[oHH],4分40秒,2022--12--13 18:19:49,普通弹幕,25,aa0f5fbe
[OHH],4分37秒,2022--12--13 18:19:36,普通弹幕,25,aa0f5fbe
10.10,4分15秒,2022--12--13 18:18:42,普通弹幕,25,aa0f5fbe
8.10,3分57秒,2022--12--13 18:18:15,普通弹幕,25,aa0f5fbe
欧典欧（警觉）,0分55秒,2022--12--13 17:46:20,普通弹幕,25,9ff15818
“70度的低温”,1分18秒,2022--12--13 13:37:24,普通弹幕,25,f00dce55
谁量产谁亏死。,0分55秒,2022--12--13 13:36:49,普通弹幕,25,f00dce55
[OHH],4分39秒,2022--12--13 12:56:05,普通弹幕,25,6edfb098
我能去你家吃饭吗？！！！！,5分26秒,2022--12--13 02:56:40,普通弹幕,25,a0023f89
《基因重组》,6分1秒,2022--12--12 23:10:26,普通弹幕,25,daf50252
茄子是你吗,1分12秒,2022--12--12 10:25:41,顶部弹幕,25,a21c6998
双汇还需要广告吗哈哈,6分5秒,2022--12--12 01:35:26,普通弹幕,25,20ded847
？？？？？？？？？？,3分4秒,2022--12--12 01:23:23,普通弹幕,25,1ff2a722
我好像理解了什么（不是,1分0秒,2022--12--11 20:48:13,普通弹幕,25,6baf0382
一时辰2小时 120分钟/8=15分钟？,1分40秒,2022--12--11 20:09:32,普通弹幕,25,19b1056c
下世纪一定,2分42秒,2022--12--11 19:35:06,顶部弹幕,25,8a5e529e
小型家用打印机,5分54秒,2022--12--11 19:27:10,普通弹幕,25,ce64e745
芒果,3分6秒,2022--12--11 13:18:09,普通弹幕,25,c47d4226
下次一定,2分51秒,2022--12--11 13:17:54,普通弹幕,25,c47d4226
下次一定,2分37秒,2022--12--11 13:16:47,普通弹幕,25,c47d4226
30，我要买,5分31秒,2022--12--10 22:25:55,普通弹幕,25,bffda1a0
《海上钢琴师》的bgm！,5分25秒,2022--12--10 21:31:57,普通弹幕,25,eb00ffb3
O . O,0分56秒,2022--12--10 20:04:50,顶部弹幕,25,ca3960e1
多加香菜,1分35秒,2022--12--10 13:13:08,普通弹幕,25,5cb55019
看起来好像那个(doge),3分29秒,2022--12--09 21:19:58,普通弹幕,25,ac230b8b
小**,3分28秒,2022--12--09 20:28:56,普通弹幕,25,fcfab22a
[ohhhhhh],4分46秒,2022--12--09 18:45:52,普通弹幕,25,28e5e81a
好，投了,2分34秒,2022--12--09 18:43:38,普通弹幕,25,28e5e81a
哦是麻椒,1分46秒,2022--12--09 16:17:48,普通弹幕,25,eead16f6
不吃香菜加1，我真的超讨厌香菜，但是我更讨厌花椒,1分43秒,2022--12--09 16:17:41,普通弹幕,25,eead16f6
我真的不喜欢吃香菜，所以就香菜少放点,1分35秒,2022--12--09 16:17:16,普通弹幕,25,eead16f6
又来了，押韵狂魔  ,5分19秒,2022--12--09 15:23:14,普通弹幕,18,1dcb8826
又来了，押韵狂魔,5分5秒,2022--12--09 15:22:35,普通弹幕,25,1dcb8826
高实在是高,4分26秒,2022--12--09 15:21:41,普通弹幕,25,1dcb8826
《下次一定》（这次一定）,5分45秒,2022--12--09 12:00:03,普通弹幕,25,ca80339d
这是要考研？,3分48秒,2022--12--09 01:44:12,普通弹幕,25,36eb002f
35，给吗,5分12秒,2022--12--09 01:42:33,普通弹幕,25,b2310213
为什么我把浓盐水想成了浓盐酸,4分30秒,2022--12--08 22:54:33,普通弹幕,25,d2aea21d
某幻快乐只因腿,1分32秒,2022--12--08 15:40:41,普通弹幕,25,1b2f21a6
我进来的时候以为是炸真的鸡腿,2分42秒,2022--12--08 11:52:32,普通弹幕,25,cb843636
人话：15分钟,1分17秒,2022--12--08 11:49:56,普通弹幕,25,cb843636
没看过的扣眼珠子（bushi）,2分29秒,2022--12--07 12:36:15,顶部弹幕,25,3a230b8e
外酥里嫩,4分16秒,2022--12--06 11:52:23,普通弹幕,25,94a27b7
一个98,5分13秒,2022--12--06 11:15:33,普通弹幕,25,c9794339
能拉，但不多,2分7秒,2022--12--05 22:49:32,普通弹幕,25,dd4571dd
像惠灵顿,4分32秒,2022--12--05 16:00:39,普通弹幕,25,2bbeb793
谢谢，已笑拉,2分10秒,2022--12--04 19:12:26,顶部弹幕,25,7f2ab8bd
kkkkkkkk,4分13秒,2022--12--04 15:26:11,普通弹幕,25,6479a52e
哈哈哈哈哈哈哈好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好,3分4秒,2022--12--04 15:24:44,普通弹幕,25,6479a52e
但是投币收益是真的高,0分28秒,2022--12--04 12:32:34,普通弹幕,25,b132e08a
进度条还没过半，事情果然不简单，又要翻车了。,2分46秒,2022--12--04 10:51:04,普通弹幕,25,6a7642fe
《这是史上最棒炸鸡的一小步》,1分22秒,2022--12--04 07:41:02,普通弹幕,25,86700358
o o,2分34秒,2022--12--03 13:29:02,普通弹幕,25,22825355
挑食的叉出去,1分36秒,2022--12--02 21:55:03,顶部弹幕,25,df9c7b9a
[OHHHH],5分8秒,2022--12--02 19:13:48,普通弹幕,25,423c5d50
[OHHHHH],4分58秒,2022--12--02 19:13:38,普通弹幕,25,423c5d50
[ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh],5分8秒,2022--12--01 18:15:22,普通弹幕,25,518d4235
[ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh],4分58秒,2022--12--01 18:15:11,普通弹幕,25,518d4235
语文水平高，厨艺也高，耐心又好，赞了,5分50秒,2022--12--01 15:41:18,普通弹幕,25,141a486
看起来真的好奇怪,3分24秒,2022--12--01 13:35:05,普通弹幕,25,fa42afd3
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈这嘛呀,3分19秒,2022--12--01 13:34:49,普通弹幕,25,fa42afd3
《 稍 加 改 良 》,5分51秒,2022--12--01 09:56:25,普通弹幕,25,fe4f3b88
[ohhhhhhhhhhhhhh],4分43秒,2022--12--01 09:54:58,普通弹幕,25,fe4f3b88
[ohhhhhh],4分39秒,2022--12--01 09:54:43,普通弹幕,25,fe4f3b88
鸡腿：哎呀呀我没熟呀～,4分5秒,2022--12--01 09:54:05,普通弹幕,25,fe4f3b88
进度条说明事情并不简单,3分52秒,2022--12--01 09:53:34,普通弹幕,25,fe4f3b88
这明明是葫芦！,3分23秒,2022--12--01 09:52:40,普通弹幕,25,fe4f3b88
面包：哎呀呀我裂开了呀～,3分1秒,2022--12--01 09:51:03,普通弹幕,25,fe4f3b88
《 芒 果 》,2分49秒,2022--12--01 09:50:37,普通弹幕,25,fe4f3b88
《 从成华大道排到了二仙桥 》,0分27秒,2022--12--01 09:48:03,普通弹幕,25,fe4f3b88
23333333,0分2秒,2022--12--01 09:47:07,普通弹幕,25,fe4f3b88
[ohh],4分58秒,2022--11--30 21:34:01,普通弹幕,25,2619abac
香菜我的命,1分53秒,2022--11--29 20:21:22,普通弹幕,25,91d82a85
双汇塌房了,6分16秒,2022--11--29 18:05:57,普通弹幕,25,f46d30ad
15元一只不然对不起，绵羊做了这么多天,4分51秒,2022--11--29 16:46:59,底部弹幕,25,7e9fe66d
买了敏感肌也适用,6分8秒,2022--11--29 16:24:08,普通弹幕,25,2dab2cbf
《八宝鸭》,3分33秒,2022--11--29 16:21:07,普通弹幕,25,2dab2cbf
《麻圆》,3分11秒,2022--11--29 16:20:39,普通弹幕,25,2dab2cbf
这项目我投了，马上量产！,5分25秒,2022--11--29 13:29:13,普通弹幕,25,80b29d9f
奇奇怪怪的形状,3分35秒,2022--11--29 13:27:23,普通弹幕,25,80b29d9f
只能拉一点点,2分13秒,2022--11--29 13:25:57,普通弹幕,25,80b29d9f
青苔,1分52秒,2022--11--28 20:34:07,普通弹幕,25,c06f0915
加个鸡腿,0分46秒,2022--11--28 19:48:14,普通弹幕,25,fc3becd5
《惠灵顿》,4分11秒,2022--11--28 01:32:40,普通弹幕,25,d75f638f
双汇有问题，家人们少买。,6分4秒,2022--11--27 18:33:42,普通弹幕,25,98fa5690
哈哈哈哈哈,4分48秒,2022--11--27 15:15:44,普通弹幕,25,ad2d6cf4
我仿佛看到了小北当年象拔蚌的风光伟绩,3分35秒,2022--11--26 19:43:45,普通弹幕,25,3b5c5414
猝不及防,6分9秒,2022--11--26 14:04:09,顶部弹幕,25,76e86c80
5亿分之一元,5分26秒,2022--11--26 13:59:17,普通弹幕,25,11add510
散架预警,1分56秒,2022--11--26 00:14:13,普通弹幕,25,bfb1fec2
6块我要吃,5分3秒,2022--11--24 23:04:50,普通弹幕,25,6428c9ce
回炉重造,4分8秒,2022--11--24 19:48:41,普通弹幕,25,98211839
真饱满,3分7秒,2022--11--24 19:47:19,普通弹幕,25,98211839
我拒绝选择!（恼）,1分34秒,2022--11--24 19:26:40,顶部弹幕,25,66881396
只  因  腿  大  包,0分38秒,2022--11--24 19:21:29,顶部弹幕,25,2bd8a21b
出全地球70多亿人的，一个人不能买不止一个吗？,0分20秒,2022--11--24 18:56:03,普通弹幕,25,d070de2e
盲猜翻车,2分35秒,2022--11--24 18:44:45,普通弹幕,25,812f0c38
阿姨啦一啦（狗头,2分13秒,2022--11--21 22:07:42,普通弹幕,25,901c316a
发家致,0分44秒,2022--11--20 13:16:41,顶部弹幕,25,dbcd375
}“：，。 ”,0分11秒,2022--11--19 13:19:53,普通弹幕,25,df631a6f
很多人符合你好你好怒会不会比好榜样,0分0秒,2022--11--19 12:35:10,顶部弹幕,25,6fee9ae9
我裂开了,3分14秒,2022--11--19 12:34:23,顶部弹幕,25,6fee9ae9
《准备翻车》,0分0秒,2022--11--19 12:33:57,顶部弹幕,25,6fee9ae9
好笑,5分22秒,2022--11--18 12:32:33,普通弹幕,25,ff5b7139
如果我用的是移动端，一定会为这个剪辑点差评差评差评！！！！！,3分49秒,2022--11--16 20:12:17,普通弹幕,25,f8ae3a1e
2022表示双汇塌房了,6分24秒,2022--11--15 12:19:42,普通弹幕,25,e774d7ea
两块钱交个朋友,5分8秒,2022--11--13 10:55:59,普通弹幕,25,6437863a
好饿好饿好饿,5分22秒,2022--11--13 00:17:50,普通弹幕,25,a640fdb
不！要！香！菜！,1分40秒,2022--11--12 20:24:07,普通弹幕,25,c24c6f8c
要翻车,1分9秒,2022--11--12 16:50:45,普通弹幕,25,8243e098
.,6分32秒,2022--11--12 15:10:45,普通弹幕,25,847f167
猝不及防,6分29秒,2022--11--10 19:07:01,普通弹幕,25,dc6c46e2
真·炸面包,3分20秒,2022--11--10 10:54:54,顶部弹幕,25,576dfcc9
感觉蔬菜会影响味道,4分13秒,2022--11--07 14:44:17,普通弹幕,25,512b50af
e_e,5分40秒,2022--11--05 11:47:59,普通弹幕,25,1488d7bb
看起来好廉价哈哈哈,6分28秒,2022--11--01 23:49:07,普通弹幕,25,8e354db0
BGM！！！！！,5分6秒,2022--11--01 22:04:45,普通弹幕,25,36f2bff3
要饿死了 赶紧开饭店吧,5分44秒,2022--11--01 13:22:53,普通弹幕,25,edb2750a
请记住现在的音乐，因为等会儿就变了,4分32秒,2022--10--31 21:22:51,顶部弹幕,25,8198016e
长生不老,0分46秒,2022--10--31 18:09:59,顶部弹幕,25,4f76465d
下 次 丕 定,2分32秒,2022--10--29 19:07:05,普通弹幕,25,e1c52f34
好像.....还是没熟啊23333333,4分40秒,2022--10--29 03:00:32,顶部弹幕,25,a13729dc
3块钱我买了,5分15秒,2022--10--27 17:15:43,普通弹幕,25,5760afc8
入坑作！！！,0分20秒,2022--10--26 16:01:40,普通弹幕,25,824f771a
只因腿??？??？,0分35秒,2022--10--25 20:32:05,普通弹幕,25,29fec163
哟哟哟，这不是绵羊吗？几天不见，这么拉～～～～了。,2分7秒,2022--10--25 12:14:38,普通弹幕,25,ed0496ad
好家伙成每周必看了,0分0秒,2022--10--25 12:13:37,普通弹幕,25,5a2d93d1
不咸吗？,6分1秒,2022--10--24 18:02:44,普通弹幕,25,c055d45
油条！,3分5秒,2022--10--23 13:33:10,普通弹幕,25,ec76f70b
这是?,3分0秒,2022--10--23 13:32:59,普通弹幕,25,ec76f70b
11（45）1（4）,2分41秒,2022--10--23 13:32:34,普通弹幕,25,ec76f70b
上头,5分19秒,2022--10--23 12:49:07,普通弹幕,25,a640fdb
16个人你好,2分20秒,2022--10--21 21:45:20,普通弹幕,25,fd2502c8
15个人你好,2分12秒,2022--10--21 21:45:02,普通弹幕,25,fd2502c8
投币不可以，点赞可以,5分0秒,2022--10--19 14:39:24,普通弹幕,25,d50cc145
优雅，太优雅了,5分26秒,2022--10--16 16:31:30,普通弹幕,25,6f46e232
hhhhhhhhhhhhhhhhhhhh h hhhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhhhhhh,3分59秒,2022--10--16 11:52:59,普通弹幕,25,94189fb3
也只有羊厂长能设计了,0分47秒,2022--10--15 17:14:48,普通弹幕,25,a6ec6f2e
却一直不得五块大洋呀,5分11秒,2022--10--15 16:59:48,普通弹幕,25,a0e18f4e
2022年，超级美味的奇多玉米棒在人群中广为流传,0分13秒,2022--10--15 16:53:47,普通弹幕,25,f4b22877
别刷吴签，要刷牙签,3分43秒,2022--10--12 16:28:52,普通弹幕,25,103aeeab
炫我嘴里！,5分16秒,2022--10--11 20:00:09,普通弹幕,25,9f5d95cd
饿死了,5分50秒,2022--10--10 23:16:39,普通弹幕,25,9e5b49c4
啊哈哈哈哈哈哈哈哈哈哈哈哈,3分39秒,2022--10--10 20:26:35,普通弹幕,25,17bd386b
《卡米尔》,2分54秒,2022--10--08 17:53:51,顶部弹幕,25,c5c98899
[ohh],5分1秒,2022--10--07 20:04:56,普通弹幕,25,d23878e0
[［ohh]],5分0秒,2022--10--07 20:04:34,普通弹幕,25,d23878e0
安莉洁表示我也能做吗？,0分0秒,2022--10--06 18:35:17,普通弹幕,25,cb2b8d01
2022年的你不要过来啊！！,6分10秒,2022--10--04 08:56:53,顶部弹幕,25,d20e9ebe
还是b站的人纯洁,3分42秒,2022--10--03 19:40:15,普通弹幕,25,8dedbd63
【拉】,2分8秒,2022--10--03 14:59:17,普通弹幕,25,81afa4ef
加香菜,2分10秒,2022--10--02 23:55:12,普通弹幕,25,eb8787cb
名侦探大姨,3分37秒,2022--09--30 20:24:28,普通弹幕,25,9597e5d4
经费爆炸,0分5秒,2022--09--30 08:21:24,普通弹幕,25,c9795587
？？？,6分7秒,2022--09--29 23:44:48,普通弹幕,25,6be6d270
绵羊你耍流氓！,3分25秒,2022--09--29 22:50:48,顶部弹幕,25,51329c32
对不起我有罪,1分10秒,2022--09--25 21:45:19,普通弹幕,25,e4765988
进度条危,3分23秒,2022--09--25 18:17:45,普通弹幕,25,45c344b0
用香菜！给某幻！（）,2分17秒,2022--09--25 18:16:33,普通弹幕,25,45c344b0
好像屁股！,3分6秒,2022--09--25 16:39:01,普通弹幕,25,138b5b72
不要香菜,2分3秒,2022--09--25 10:57:00,普通弹幕,25,ddd6dee1
二仙桥，怎么走！,0分25秒,2022--09--25 02:01:35,普通弹幕,25,c9f2d536
[ohh],4分49秒,2022--09--24 23:14:39,普通弹幕,25,32ea70b0
稍加,6分4秒,2022--09--24 12:10:38,普通弹幕,25,f1828c6
哈哈哈哈哈哈哈哈哈,3分30秒,2022--09--24 12:08:35,普通弹幕,25,f1828c6
+,3分43秒,2022--09--22 13:38:39,普通弹幕,25,8952982f
6+,3分55秒,2022--09--22 12:01:56,普通弹幕,25,d29cfdd3
[前方高能],4分36秒,2022--09--21 20:49:01,普通弹幕,25,ac638ce9
诶嘿看  不到我,3分46秒,2022--09--21 12:18:14,普通弹幕,25,46efbd2c
不知不知不知不知不知不知不知,4分52秒,2022--09--20 22:08:22,普通弹幕,25,83543d4d
嘀嗒嘀嗒嘀嗒嘀,2分54秒,2022--09--20 22:06:16,普通弹幕,25,83543d4d
空调开滴滴滴滴滴滴滴滴滴滴滴滴滴快点快点快点快点快点开,1分52秒,2022--09--20 22:05:09,普通弹幕,25,83543d4d
er,1分49秒,2022--09--20 22:04:51,普通弹幕,25,83543d4d
一步到胃,0分11秒,2022--09--20 21:49:56,普通弹幕,25,2492ff20
湖南人？,0分43秒,2022--09--20 14:41:36,普通弹幕,25,783e5850
这真的不是蒜苗吗？,1分33秒,2022--09--18 18:34:16,普通弹幕,25,2c09ec3c
中指吧,3分40秒,2022--09--18 16:47:22,普通弹幕,25,d7716f17
多加香菜,1分38秒,2022--09--18 09:09:28,普通弹幕,25,8d276109
三连了,0分6秒,2022--09--16 20:54:21,普通弹幕,25,f96311f3
满分作文,5分31秒,2022--09--16 16:56:41,普通弹幕,25,a8cbec3c
喜欢喜欢,0分8秒,2022--09--16 10:18:22,普通弹幕,25,4132de2b
流口水了,0分6秒,2022--09--15 21:25:00,普通弹幕,25,6135e665
她语文作文应该次次满分吧！,5分28秒,2022--09--15 19:48:54,普通弹幕,25,8bb7c4c9
哦这糟糕的造型,1分10秒,2022--09--15 16:23:19,普通弹幕,25,596eec90
经费爆炸,0分11秒,2022--09--15 13:22:46,普通弹幕,25,ea805cd5
来两硬币(不是,4分43秒,2022--09--15 12:21:26,普通弹幕,25,84621ab6
芜湖,0分24秒,2022--09--15 11:52:02,普通弹幕,25,53573555
两个币，这个鸡腿我要了,5分16秒,2022--09--14 21:47:23,普通弹幕,25,4b7a2332
《问题不大》,3分8秒,2022--09--14 21:44:29,普通弹幕,25,4b7a2332
2019：你礼貌吗,0分16秒,2022--09--14 21:41:10,普通弹幕,25,4b7a2332
馈赠。,3分36秒,2022--09--14 20:24:05,普通弹幕,25,e6ad10a2
